ID,Date,product_type,size,text,rating,sentiment
1,2024-07-26,Multi-purpose ladder,12ft,great daraz kept connection receive ladder later called make sure delivery ok super packaging super product,5,1
2,2024-04-20,Multi-purpose ladder,12ft,good qualityyou dont say anything say good loke ah hodata wada break number innings ladder,5,1
3,2025-01-15,Multi-purpose ladder,12ft,good quality recommended,5,1
4,2024-11-26,Multi-purpose ladder,12ft,good condition quick service,5,1
5,2024-06-30,Multi-purpose ladder,12ft,thanks daraz product deliverd time safe packing good priduct happy satisfied strong correct weight invoice waranty card user instruction recived product details filled warranty cardits blank attched referance good practice request want increase sales done customers satisfaction give comment user friendlyness durability need little time way overall quality product,5,1
6,2024-06-07,Multi-purpose ladder,12ft,please tell could get warranty card,5,1
7,2024-07-20,Multi-purpose ladder,12ft,thank daraz,5,1
8,2024-10-07,Multi-purpose ladder,12ft,innings knownheavy thoughtcame quicklyits worth goalbut responsibilities sentnever reply messagethats problem,5,-1
9,2024-10-27,Multi-purpose ladder,12ft,looks like durable im satisfied purchase highly recommended product also seller,5,1
10,2024-10-30,Multi-purpose ladder,12ft,item arrived well packed well built quick delivery first time using multi purpose ladder positive experience,5,1
11,2024-12-11,Multi-purpose ladder,12ft,product highest fair value price paid sturdy ladder superior finish,5,1
12,2024-08-23,Multi-purpose ladder,12ft,excellent build quality locks working really satisfied purchase,5,1
13,2024-04-16,Multi-purpose ladder,12ft,good dont think twice strong win,5,1
14,2024-12-27,Multi-purpose ladder,12ft,genuine product came time fast shipping highly recommend,5,1
15,2024-08-03,Multi-purpose ladder,12ft,good quality product thanks sellar daraz,5,1
16,2024-10-04,Multi-purpose ladder,12ft,product described quality good delivered within days,5,1
17,2024-09-17,Multi-purpose ladder,12ft,recently delivered good product home use really satisfied,5,1
18,2025-01-08,Multi-purpose ladder,12ft,recommended heavyduty,5,1
19,2024-04-23,Multi-purpose ladder,12ft,top quality strong durable ladder value money,5,1
20,2024-09-04,Multi-purpose ladder,12ft,good packing solid item,5,1
21,2024-06-29,Multi-purpose ladder,12ft,good product heavier expected,5,1
22,2024-10-18,Multi-purpose ladder,12ft,good product didnt receive invoice,5,1
23,2024-07-09,Multi-purpose ladder,12ft,good quality speed delivery,5,1
24,2024-04-24,Multi-purpose ladder,12ft,excellent product delivery late couriers fault,5,1
25,2024-06-04,Multi-purpose ladder,12ft,useful,5,1
26,2024-12-30,Multi-purpose ladder,12ft,best ladder good product,5,1
27,2024-07-07,Multi-purpose ladder,12ft,good product,5,1
