review_text,rating
This is great. Daraz kept the connection until I receive the ladder. Later they called again to make sure the delivery is ok. Super packaging. Super product. 🤍,5
Good quality. කියන්න දෙයක් නෑ හොදය් loke ahma hodata wada ඉනිමග කොටස් ගණනාවකට කඩන්න පුලුවන් මරැ Thanks Daraz ❤👍👍,5
Good quality and recommended,5
Good condition and quick service,5
"Thanks Daraz, product was deliverd on time with safe packing. Its a good priduct. I am happy and satisfied. Strong and correct weight is there. Invoice, waranty card and user instruction recived with product. But no details filled in warranty card,its blank. attched here for your referance. Its not a good practice. Request to not to do it, if you want to increase your sales. Its should done for your customers satisfaction. To give comment about User friendlyness and durability, need little time. Any way overall, its a quality product.",5
Can you please tell me how I could get the warranty card for this,5
Thank you daraz ,5
ඉනිමග නම් ⁣ෙහාඳයි. හිතුවට වඩා බරයි. ඉක්මනට ආවා. ෙගදරකට වටිනවා. ඒත් වගකීම් සහතිකය නම් එවලා නෑ. ⁣seller කිසිම message 1කට reply කරන්නෙ නෑ. ඒකයි ප්‍රශ්නය.,5
Looks like very durable. I'm 100% satisfied with my purchase. Highly recommended the Product & also the seller.,5
"Item arrived well packed and well built, with quick delivery. First time using a multi purpose ladder and had a positive experience.",5
A product at the highest fair value for the price paid. It is a sturdy ladder with a superior finish.,5
Excellent build quality. All locks are working as it is. Really satisfied with the purchase 🙂. ,5
very good don't think twice very strong #win#,5
Genuine product. Came on time. Fast shipping. Highly Recommend! ,5
Good quality product. Thanks you sellar and Daraz!,5
Product same as described. Quality is very good. Delivered within 7 days.,5
Recently delivered. A Good product for home use. Really Satisfied..,5
recommended... heavy-duty...,5
Top quality strong durable ladder. value for money . 👍👍👍,5
Good packing.. solid item.. ,5
"Good product, heavier than expected",5
"good product , but i didn't receive invoice ",5
Good quality. Speed delivery.,5
Excellent product but the delivery was so late. It's the courier's fault.,5
It's very useful..,5
Best ladder. Good product,5
Good product ❤️ ,5
Solid product. I'm happy with the purchase.,5
Good product ,5
supper,5
"Good product, stands safe on the ground, solid material. Joints are slighly oiled. Seller sent quickly, but Daraz deliveryservice needed eternities to bring it here. My recommendation, you cant go wrong buying this ladder.",5
This product should be there in every house ❤️🔥,5
Good quality ladder. Worth the price!,4
super quality product as usual ,5
Good product ,5
Good Quality strong product. Very Happy with the Daraz service too. ,5
great product. wrapped very well. thank you,5
highly recommended ladder. thank you swisstech,5
Great Service. Item delivered with in 2 days,5
Good product. Recommended.,5
worth the money 🤑,4
Sturdy ladder well packed and delivered very fast. ,5
product is okay .but delivery took more than 9 days within the Greater Colombo. They should work on the Delivery service.,1
This is handy for apartments where space is limited. A bit heavy and takes time getting used to. But happy overall. Good quality,5
"excellent utility. Very good build quality. Useful and handy for many different situations. Good if a proper fitting plank was included to stand on (when used in arch position), even at an additional cost",5
"locks very very tight, got the hand injured as well. spoke to Swisstek to send replacement with a technician. ",5
this is an excellent product..it worths every rupee you have spent..I weight aroung 85kg and it can handle it without a blink..recommend for anyone,5
This is a really a good and useful item for home. Delivery is excellent.received the item within 3 days from order. Only bad thing is seller didn't gave the invoice.other than that all are positive feedbacks.looking forward to shop more....,5
Very fast delivery. Good packaging and no damages. Received the warranty card as well. Bit heavy and strong structure.,5
Good product; But seller didnt send any invoice or warranty card for the product. When contacted by chat he say product is good quality and no need warranty card but to keep the order date in mind. NOT PROFESSIONAL SELLER. ,3
Item received. Product is according to the description. Sad thing is price has been reduced later.,5
Perfect and good customer service,5
"Fast delivery, haven't used it yet.",5
Super customer service Thank You…… ,5
Good Product and best price 👌👌👌👍,5
this is my 3rd ladder that i ordered from daraz. its perfect and highly recommend the seller.,5
Good Product and best price 👌👌👌👍,5
steady and strong…,5
Excellent,5
"A good product with high build quality, easy to handle and fast delivery. ",4
Received with very good packing. Product is very good. Worth for money ,5
"Quick delivery, good product as mentioned, but warranty card not filled",5
"quality durable Product , worth the money delivery within few days ..",5
The best efficient Ladder with lot of options . Highly Recommended...,5
Quality product. Can recomend. Ideal for home usage. Thankyou Daraz.,5
been using for about 2 months. very good product. highly recommended.,5
highly recommended...good quality product...good service too.,5
"Thank you so much, received soon. Thank you all so much",5
very happy. good sturdy tall yet compact for storage. ,5
The ladder seems to be in good condition on arrival ,4
The ladder seems to be in good condition on arrival ,5
Received as advertised. Quality product. Satisfied.,5
Thank you very much for your honest service .,5
"Good product, but no details on warranty card",5
Quality product. can recommend,5
Thank you daraz ❤ it s good 👍,5
good product & good qulity ,5
good product but expensive.,5
good Quality product 👍,5
Good product. Recommend ,5
super quality material ,5
thank you. good item ,5
Good quality product,5
Best product. Thanks,4
VERY GOOD PRODUCT ,5
Excellent product ,5
very good product ,5
Good as described,5
Quality product,5
Good Thanks ,5
very useful,5
very good item ,5
Good product,4
good one ,5
Good....,5
👍,5
