review_text,review_id,cleaned_review,sentiment_score,sentiment_label,sentiment
good product,0,good product,0.4404,positive,Positive
Very sturdy and feels safe to use. Highly recommended!,1,sturdy feels safe use highly recommended,0.6115,positive,Positive
Very sturdy and feels safe to use. Highly recommended!,2,sturdy feels safe use highly recommended,0.6115,positive,Positive
,3,,,neutral,Neutral
Easy to fold and store. Perfect for my small space!,4,easy fold store perfect small space,0.765,positive,Positive
The height is just right for cleaning and painting tasks,5,height right cleaning painting tasks,0.0,neutral,Positive
"Very convenient to usePerfect for home projectsGreat height, easy to storeWouldn't recommend thisQuality could be betterAmazing build quality!Lightweight and easy to carryDoes the job, nothing fancyArrived on time, no issuesMissing a few screwsPerfect for cleaning guttersToo short for my needsVersatile and multi-functionalImpressive stabilityPaint chipped after one useHighly recommend this ladderFeels very durableNot suitable for outdoor workAssembly was a bit trickyCompact but sturdyIdeal for professional useCould use better packagingA bit heavier than expectedVery easy to extend and retractLifesaver for painting jobs!Poor customer support experienceLooks good, feels solidHappy with this purchaseOne of the steps is looseGood height for my needsFeels cheap, might not lastPerfect for small spacesVery stable even on uneven surfaces.Not as tall as describedGood grip and slip resistanceA bit overpriced but functionalDoesn't feel safe for heavier usersCompact design is a plusEasy to set up and take down.The hinges feel weakWorks well on hard surfacesDoesn't fit in my storage areaGreat for indoor useLadder locks securely in placeGreat value for money. Works perfectly for outdoor tasks",6,convenient useperfect home projectsgreat height easy storewouldnt recommend thisquality could betteramazing build qualitylightweight easy carrydoes job nothing fancyarrived time no issuesmissing screwsperfect cleaning gutterstoo short needsversatile multifunctionalimpressive stabilitypaint chipped one usehighly recommend ladderfeels durablenot suitable outdoor workassembly bit trickycompact sturdyideal professional usecould use better packaginga bit heavier expectedvery easy extend retractlifesaver painting jobspoor customer support experiencelooks good feels solidhappy purchaseone steps loosegood height needsfeels cheap might not lastperfect small spacesvery stable even uneven surfacesnot tall describedgood grip slip resistancea bit overpriced functionaldoesnt feel safe heavier userscompact design pluseasy set take downthe hinges feel weakworks well hard surfacesdoesnt fit storage areagreat indoor useladder locks securely placegreat value money works perfectly outdoor tasks,0.9899,positive,Positive
"A bit heavy to handle, but overall it does the job well",7,bit heavy handle overall job well,0.2732,positive,Positive
,8,,,neutral,Neutral
The ladder feels a bit shakyNot worth the price,9,ladder feels bit shakynot worth price,0.2263,positive,Negative
